actor_name,actor_slug
Чэнь Сяо,chen-siao
Ямасита Томохиса,iamasita-tomokhisa
Ли Чо Хи,li-cho-khi
Чон Ю Мин,chon-iu-min
Хан Хе Чжин,khan-khe-chzhin
Ким Джэ Ён,kim-dzhe-ion
Кудо Асука,kudo-asuka
Ким Чон Ын,kim-chon-yn
Кен Тирадет Вонпуапан,ken-tiradet-vonpuapan
Кавагути Харуна,kavaguti-kharuna
Чэнь Ю Вэй,chen-iu-vei
Ван Дон,van-don
Лю Юй Хань,liu-iui-khan
О Мин Сок,o-min-sok
Чэнь Му Чи,chen-mu-chi
Чжан Чжи Хао,chzhan-chzhi-khao
Чжан И Шан,chzhan-i-shan
Юро Йотсават Тавапи,iuro-iotsavat-tavapi
Чжин И Хан,chzhin-i-khan
Ли Бом Су,li-bom-su
Лу Дун Сюй,lu-dun-siui
Ли Хак Чжу,li-khak-chzhu
Су Мэн Ди,su-men-di
Кан Тэ О,kan-te-o
Ли Фэй,li-fei
Сюн Цзы Ци,siun-tszy-tsi
Фань Вэй,fan-vei
Чжан Цзюнь Нин,chzhan-tsziun-nin
Ан У Ён,an-u-ion
Чжао И Хуан,chzhao-i-khuan
Сон Ё Ын,son-io-yn
Кун Сюэ Эр,kun-siue-er
Иноуэ Юки,inoue-iuki
Цзян Пэй Яо,tszian-pei-iao
Ли Чхэ Ён,li-chkhe-ion
Сун Янь Фэй,sun-ian-fei
Чон Вон Чхан,chon-von-chkhan
Хон Чжон Хён,khon-chzhon-khion
Сайто Такуми,saito-takumi
Май Давика Хонэ,mai-davika-khone
Чжун Ци,chzhun-tsi
Чжу И Лун,chzhu-i-lun
Ли Мун Сик,li-mun-sik
Им Су Хян,im-su-khian
Идзуми Рика,idzumi-rika
Мураками Нидзиро,murakami-nidziro
Хан Хё Чжу,khan-khio-chzhu
Фим Раттапум Токонгсап,fim-rattapum-tokongsap
Оно Сатоши,ono-satoshi
Лю И Цзюнь,liu-i-tsziun
Чон Хе Бин,chon-khe-bin
Чжан Синь Чэн,chzhan-sin-chen
Нани Хиранкрит Чанкам,nani-khirankrit-chankam
Ли Хун И,li-khun-i
Ким Ми Гён,kim-mi-gion
Ким Мин Сок,kim-min-sok
Со Чжу Ён,so-chzhu-ion
Комия Рио,komiia-rio
Ли Дон Хэ,li-don-khe
Цзи Лин Чэнь,tszi-lin-chen
Галф Канавут Трайпипатпон,galf-kanavut-traipipatpon
Мэн Цзы И,men-tszy-i
У Да Би,u-da-bi
Ли Ми Со,li-mi-so
Ан Гиль Кан,an-gil-kan
Ким Пён Ок,kim-pion-ok
Чон Рё Вон,chon-rio-von
Дай Вэнь Вэнь,dai-ven-ven
Гао Вэй Гуан,gao-vei-guan
Кан Да Хён,kan-da-khion
До Кён Су,do-kion-su
Лю И Фэй,liu-i-fei
Ян Се Джон,ian-se-dzhon
Минь Син Хань,min-sin-khan
Эди Ань,edi-an
Ло Цю Юнь,lo-tsiu-iun
Чэн Юй Фэн,chen-iui-fen
Сон Дон Иль,son-don-il
Виктория Сон,viktoriia-son
Чжао Синь,chzhao-sin
Юн Чон Бин,iun-chon-bin
Дай Цзин Яо,dai-tszin-iao
Ван Хэ Жунь,van-khe-zhun
Ван Чжи Хе,van-chzhi-khe
Лин Мэй Ши,lin-mei-shi
Мидзуиси Атому,midzuisi-atomu
Хэ Хун Шань,khe-khun-shan
Син Хе Чжон,sin-khe-chzhon
Шим Чан Мин,shim-chan-min
Мач Чутавут Патхаракампон,mach-chutavut-patkharakampon
Ким Мин Ги,kim-min-gi
Гым Сэ Рок,gym-se-rok
Чха Сын Вон,chkha-syn-von
Ли И Сяо,li-i-siao
Судзуки Нобуюки,sudzuki-nobuiuki
Чжоу Сюнь,chzhou-siun
Накатани Мики,nakatani-miki
Мин Джин Ун,min-dzhin-un
Мацуда Гэнта,matsuda-genta
Ким Бо Ра,kim-bo-ra
Дом Пакорн Лам,dom-pakorn-lam
Чон Джин Ён,chon-dzhin-ion
Рю Сын Су,riu-syn-su
Хань Лэ Яо,khan-le-iao
Китано Кии,kitano-kii
Ли На Ын,li-na-yn
Чан Хёк,chan-khiok
Им Си Ван,im-si-van
Кэ Най Юй,ke-nai-iui
Ан Ын Джин,an-yn-dzhin
Чжу Сюй Дань,chzhu-siui-dan
Гым Кван Сан,gym-kvan-san
Танака Кэй,tanaka-kei
Сон Гон Хи,son-gon-khi
Хуан Дэ И,khuan-de-i
Син Ха Гюн,sin-kha-giun
Ян Ю Нин,ian-iu-nin
Пак Сон Ун,pak-son-un
Доу Сяо,dou-siao
Чжан Жо Юнь,chzhan-zho-iun
Юй Цун,iui-tsun
Хару,kharu
Китамура Кадзуки,kitamura-kadzuki
Ким Хён Чжу,kim-khion-chzhu
Ким Хиора,kim-khiora
Го Сюэ Фу,go-siue-fu
Пак Джу Хи,pak-dzhu-khi
Дин И И,din-i-i
Чжао И Цинь,chzhao-i-tsin
Чжан Юй Си,chzhan-iui-si
Ю Сын Хо,iu-syn-kho
Пак Ын Бин,pak-yn-bin
Чэн Лэй,chen-lei
Пак Юн Чжэ,pak-iun-chzhe
Алек Тирадет Метаварают,alek-tiradet-metavaraiut
Син Мён Сон,sin-mion-son
Кубота Масатака,kubota-masataka
Хонда Кёя,khonda-kioia
Кобаяси Рёко,kobaiasi-rioko
Чжан Юнь Лун,chzhan-iun-lun
У Лэй,u-lei
Чжан Вань И,chzhan-van-i
Ван Бо Вэнь,van-bo-ven
Чжан Сы Фань,chzhan-sy-fan
Кавасэ Рико,kavase-riko
Чжао Ли Ин,chzhao-li-in
Ли Чжу Ён,li-chzhu-ion
Араки Юко,araki-iuko
Ван Си Чао,van-si-chao
Ивата Таканори,ivata-takanori
Майкл Патарадет Сануонкванди,maikl-pataradet-sanuonkvandi
Ли Хён Ук,li-khion-uk
Намтан Типнари Вираватнодом,namtan-tipnari-viravatnodom
Чхэ Со Чжин,chkhe-so-chzhin
Ли Чхан Ук,li-chkhan-uk
Чхве Ши Вон,chkhve-shi-von
Ли Му Чэнь,li-mu-chen
Чхве Хи Джин,chkhve-khi-dzhin
Мик Тонрая,mik-tonraia
Лю Чжи Вэй,liu-chzhi-vei
Мун Сан Мин,mun-san-min
Чжан Чао,chzhan-chao
Кан Ха Ныль,kan-kha-nyl
Сирасу Джин,sirasu-dzhin
Юн Джи Хе,iun-dzhi-khe
Ли Фэй Эр,li-fei-er
Ван Юй Вэнь,van-iui-ven
Ли Джун,li-dzhun
Ли Ин,li-in
Ок Тэк Ён,ok-tek-ion
