actor_name,actor_slug
Хван Сок Чжон,khvan-sok-chzhon
Чжан Сяо Цянь,chzhan-siao-tsian
Чха Ин Пё,chkha-in-pio
Ли Сан,li-san
Пён Со Юн,pion-so-iun
Чо Ин Сон,cho-in-son
Сяо Юй Юй,siao-iui-iui
О Ый Сик,o-yi-sik
О Чхан Сок,o-chkhan-sok
Фэн Шао Фэн,fen-shao-fen
Цзин Бо Жань,tszin-bo-zhan
Ли Гэн Си,li-gen-si
Сунь Кай,sun-kai
Комацу Аяка,komatsu-aiaka
Чжан Чжи Си,chzhan-chzhi-si
Бай Юй Фань,bai-iui-fan
Ду Я Фэй,du-ia-fei
Луктчан Пхасиди Петсути,luktchan-pkhasidi-petsuti
Пак Мин Ён,pak-min-ion
Хуан Жи Ин,khuan-zhi-in
Сян Цзе Жу,sian-tsze-zhu
Тянь Цзя Жуй,tian-tszia-zhui
Тиффани Сюй,tiffani-siui
Сюй Кай Синь,siui-kai-sin
Ха Чжи Вон,kha-chzhi-von
Цзэн Чжи Цяо,tszen-chzhi-tsiao
Чан Сон Юн,chan-son-iun
Чон Чжи Хён,chon-chzhi-khion
Дильраба,dilraba
Ом Ки Чжун,om-ki-chzhun
Чхэ Хён Вон,chkhe-khion-von
Ли Хе Ри,li-khe-ri
У Мо Тун,u-mo-tun
Син Сын Хо,sin-syn-kho
Цай Сян Юй,tsai-sian-iui
Аясэ Харука,aiase-kharuka
Пак Джун Гым,pak-dzhun-gym
Ан Бо Хён,an-bo-khion
Сато Такэру,sato-takeru
Нанон Корапат Кирдпан,nanon-korapat-kirdpan
Чон Со Ни,chon-so-ni
Хэ Шэн Мин,khe-shen-min
Чжао Чжао И,chzhao-chzhao-i
Донат Паттарапон Детпонваранон,donat-pattarapon-detponvaranon
Нака Рииса,naka-riisa
Чо Бок Рэ,cho-bok-re
Ли Тхэ Ри,li-tkhe-ri
Хоу Дун,khou-dun
Ло Цзинь,lo-tszin
Ким Хи Чон,kim-khi-chon
Андо Сэй,ando-sei
Цао Юй Чэнь,tsao-iui-chen
Сюй Гуан Хань,siui-guan-khan
Сюй Кай,siui-kai
Чжу Юань Бин,chzhu-iuan-bin
Хуан Сяо Мин,khuan-siao-min
Юань Хун,iuan-khun
Чха Чжу Ён,chkha-chzhu-ion
Кем Хассави Пакрапонпайсан,kem-khassavi-pakraponpaisan
У Чун Сюань,u-chun-siuan
Ким Хян Ги,kim-khian-gi
Ли Сан Юн,li-san-iun
Ли Цзя Хан,li-tszia-khan
Ха Чон У,kha-chon-u
Ван Ю Шо,van-iu-sho
Ю Джэ Мён,iu-dzhe-mion
Дзиро Ван,dziro-van
Ю Цзин Жу,iu-tszin-zhu
Мун Чон Хи,mun-chon-khi
Хван Бо Ра,khvan-bo-ra
Ли Джин Ук,li-dzhin-uk
Пу Пу,pu-pu
Гао Хань Юй,gao-khan-iui
Нагасава Масами,nagasava-masami
Нат Китчарит,nat-kitcharit
Судзуки Кёка,sudzuki-kioka
Чэн Сяо Мэн,chen-siao-men
Ким Гю Чхоль,kim-giu-chkhol
Юн Ге Сан,iun-ge-san
Никки Ву,nikki-vu
Пантжан Прама Иманотай,pantzhan-prama-imanotai
Дью Джирават Сутиваничасак,diu-dzhiravat-sutivanichasak
Хван Ин Ёп,khvan-in-iop
Ли Си У,li-si-u
Чон И Ран,chon-i-ran
Дион Лам,dion-lam
Ван Яо Цин,van-iao-tsin
Чэнь Синь Юй,chen-sin-iui
Сакагути Кэнтаро,sakaguti-kentaro
Цзян Синь,tszian-sin
Чон Чжон Со,chon-chzhon-so
Чжан Юй Цзянь,chzhan-iui-tszian
Пак Ён У,pak-ion-u
Чжэн Нань Си,chzhen-nan-si
Со Йе Хва,so-ie-khva
Чон Ю Джин,chon-iu-dzhin
Жэнь Юнь Цзе,zhen-iun-tsze
Линь Гэн Синь,lin-gen-sin
Линь Кай Цзе,lin-kai-tsze
Тэрамото Рио,teramoto-rio
Чо Джэ Юн,cho-dzhe-iun
Офрод Кантапон Тчиндатавипон,ofrod-kantapon-tchindatavipon
Чжу Чжу,chzhu-chzhu
Ли Чон Джин,li-chon-dzhin
Исом,isom
Чон Юн Хо,chon-iun-kho
Шэн Хуэй Цзы,shen-khuei-tszy
Ивасаки Тайсё,ivasaki-taisio
Со Хе Вон,so-khe-von
Ли Ю Ми,li-iu-mi
Пак Бо Ён,pak-bo-ion
Тан Минь,tan-min
Ли Сянь,li-sian
Пэн Би Яо,pen-bi-iao
Ким Мин Гю,kim-min-giu
Нат Натчапон Раттанамонкон,nat-natchapon-rattanamonkon
Рэй Ян,rei-ian
Инукай Ацухиро,inukai-atsukhiro
Пэк Со Ху,pek-so-khu
Лю Се Нин,liu-se-nin
Сяо Янь,siao-ian
Хан Да Гам,khan-da-gam
Као Супасара Таначат,kao-supasara-tanachat
Такэда Кохэй,takeda-kokhei
Иноуэ Сора,inoue-sora
Сюй Шао Ин,siui-shao-in
Пак Ки Ун,pak-ki-un
Хэ Хао Чэнь,khe-khao-chen
Сон Ха Юн,son-kha-iun
У Хай,u-khai
Фон Санантачат Танапатписан,fon-sanantachat-tanapatpisan
Ван Жуй Цзы,van-zhui-tszy
Ли Ён Хи,li-ion-khi
Питер Хо,piter-kho
Пак Чжин Чжу,pak-chzhin-chzhu
Чэнь Ду Лин,chen-du-lin
Вэй Тянь Хао,vei-tian-khao
Фукуси Сота,fukusi-sota
Цзэн Шунь Си,tszen-shun-si
Фэн Ли Цзюнь,fen-li-tsziun
Ан Хё Соп,an-khio-sop
Чон Со Мин,chon-so-min
Квон Со Хён,kvon-so-khion
Жуань Шэн Вэнь,zhuan-shen-ven
Плой Черман Бунъясак,ploi-cherman-buniasak
Ом Чон Хва,om-chon-khva
Кудо Мио,kudo-mio
Ким Са Ран,kim-sa-ran
Вэй Сяо,vei-siao
Оу Ми Дэ,ou-mi-de
Чжу Цзань Цзинь,chzhu-tszan-tszin
Чхон Хо Джин,chkhon-kho-dzhin
Фань Чэн Чэн,fan-chen-chen
Чэнь И Хань,chen-i-khan
Накагава Тайси,nakagava-taisi
Асида Мана,asida-mana
Нагасе Рэн,nagase-ren
Ким Со Хён,kim-so-khion
Пэ Ин Хёк,pe-in-khiok
Ван Кай,van-kai
Цзинь Цзя Юй,tszin-tszia-iui
Лу Чжао Хуа,lu-chzhao-khua
Чжан Мэн,chzhan-men
Джосс Вэйар Сангнын,dzhoss-veiar-sangnyn
Мацудзака Тори,matsudzaka-tori
Чан Дон Гон,chan-don-gon
Хэ Юй,khe-iui
О Ман Сок,o-man-sok
Го Кён Пё,go-kion-pio
Ван Син Юэ,van-sin-iue
Юань Хао,iuan-khao
Хуан Цзин Чжоу,khuan-tszin-chzhou
Чон Но Мин,chon-no-min
Биби,bibi
Киритани Мирэй,kiritani-mirei
Чэн И,chen-i
Гай Сивакон Летчучот,gai-sivakon-letchuchot
Фукухара Харука,fukukhara-kharuka
Ким Хе Чжун,kim-khe-chzhun
Син Хён Су,sin-khion-su
Анджела Бейби,andzhela-beibi
Сакурай Шо,sakurai-sho
Сюй Хун Хао,siui-khun-khao
Цзян Лун,tszian-lun
Цзэн Кэ Ни,tszen-ke-ni
Ю Сон Хо,iu-son-kho
Нао,nao
Фудзии Рюсэй,fudzii-riusei
Уоллес Хо,uolles-kho
Чхве У Шик,chkhve-u-shik
Кан Со Ра,kan-so-ra
Ли Сон Бин,li-son-bin
Чжан Цзин И,chzhan-tszin-i
Чин Хи Гён,chin-khi-gion
Ван Линь,van-lin
Чэнь Синь Вэй,chen-sin-vei
Ха Ён Джу,kha-ion-dzhu
Чжи У,chzhi-u
Морисако Эи,morisako-ei
Косэки Юта,koseki-iuta
Ван Шуан,van-shuan
Сян Синь,sian-sin
Дин Юй Си,din-iui-si
Син Вон Хо,sin-von-kho
Яги Ариса,iagi-arisa
Фань Ши Жань,fan-shi-zhan
Ким Мён Мин,kim-mion-min
Ли Цзя Мин,li-tszia-min
Ли Чжэ Хун,li-chzhe-khun
Чжан Цзин Чу,chzhan-tszin-chu
Дун Синь Юнь,dun-sin-iun
Пэ Сон У,pe-son-u
Чхве Джин Хёк,chkhve-dzhin-khiok
Кимберли Энн Волтемас,kimberli-enn-voltemas
Чхве Сон Мин,chkhve-son-min
Чон Су Бин,chon-su-bin
Чжан Хэ,chzhan-khe
Им Хо,im-kho
Ю Су Бин,iu-su-bin
Цурусима Ноа,tsurusima-noa
Ли Су Мин,li-su-min
Дженис Ман,dzhenis-man
Чжан Жо Нань,chzhan-zho-nan
Чжоу Цзюнь Вэй,chzhou-tsziun-vei
Чжао И Бо,chzhao-i-bo
Ван Хао Гэ,van-khao-ge
Сюй Бай Хуэй,siui-bai-khuei
Пак Джин У,pak-dzhin-u
Лю Янь,liu-ian
Сон У Хён,son-u-khion
Мин У Хёк,min-u-khiok
Цюань Пэй Лунь,tsiuan-pei-lun
Офф Джумпон Адункиттипон,off-dzhumpon-adunkittipon
Хан Чжи Хён,khan-chzhi-khion
Джени Тиенпосуван,dzheni-tienposuvan
Кан Син Хё,kan-sin-khio
Мацуока Маю,matsuoka-maiu
Чжан Цзюн Минь,chzhan-tsziun-min
Цао Ю Нин,tsao-iu-nin
Ли Юнь Жуй,li-iun-zhui
Жэнь Чжун,zhen-chzhun
Чжи Мин Хёк,chzhi-min-khiok
Ли Сон Мин,li-son-min
Хо Вон Со,kho-von-so
Той Патомпон Рыончайди,toi-patompon-ryonchaidi
Карина,karina
Ли Гю Хан,li-giu-khan
Ли Чэн Бинь,li-chen-bin
У Цзюнь Чао,u-tsziun-chao
Чо У Джин,cho-u-dzhin
Сунь И Хань,sun-i-khan
Чхэ Чжон Ан,chkhe-chzhon-an
Жуй Вэй Хан,zhui-vei-khan
У Ли Пэн,u-li-pen
Чимон Вачиравит Руангвиват,chimon-vachiravit-ruangvivat
Ван Сяо,van-siao
Пуш Путичай Касетсин,push-putichai-kasetsin
Ким Джон Хён,kim-dzhon-khion
Ким Со Хе,kim-so-khe
Вэнь Юань,ven-iuan
Ён Джун Сок,ion-dzhun-sok
Ким Кан Мин,kim-kan-min
Хань Гэн,khan-gen
Ким Тэ Ри,kim-te-ri
О Ха Ни,o-kha-ni
Ли Чхан,li-chkhan
Фань Чжи Синь,fan-chzhi-sin
Ли Пэй Энь,li-pei-en
Чон Мин Ук,chon-min-uk
Ким Тхэ Хун,kim-tkhe-khun
Рё Ун,rio-un
Ли Джун Ён,li-dzhun-ion
Ли Лань Ди,li-lan-di
Кай,kai
Юй Цин Бинь,iui-tsin-bin
Ян Дон Гын,ian-don-gyn
Чжу Чжэн Тин,chzhu-chzhen-tin
Хэ Лань Доу,khe-lan-dou
Пран Каннаран Вонкачонклай,pran-kannaran-vonkachonklai
Чэнь Цзы Ю,chen-tszy-iu
Ха Сын Ри,kha-syn-ri
Марк Прин Супарат,mark-prin-suparat
Ли Джун Ки,li-dzhun-ki
Сюй Кай Чэн,siui-kai-chen
Ким Нам Гиль,kim-nam-gil
Ан Джэ Ук,an-dzhe-uk
Ли Сон Хо,li-son-kho
Фо Саконрат Вораурай,fo-sakonrat-voraurai
Ким Сон Гю,kim-son-giu
Го Цзюнь Чэнь,go-tsziun-chen
Ариэль Линь,ariel-lin
Чжан Лин Хэ,chzhan-lin-khe
Ли Мин Хёк,li-min-khiok
Ли Чон Сок,li-chon-sok
Пак Ын Хе,pak-yn-khe
Чхве Сон Джун,chkhve-son-dzhun
Ким Сон Гюн,kim-son-giun
Хуан Цзин Юй,khuan-tszin-iui
Джэн Плойчомпу Супхасап,dzhen-ploichompu-supkhasap
Фань Шао Сюнь,fan-shao-siun
Бом Пхонсакон Тосуван,bom-pkhonsakon-tosuvan
Аум Патчарапа,aum-patcharapa
Ян Ми,ian-mi
Ци Пэй Синь,tsi-pei-sin
Цинь Цзюнь Цзе,tsin-tsziun-tsze
Итиносэ Хаятэ,itinose-khaiate
Ао Жуй Пэн,ao-zhui-pen
Ци Вэй,tsi-vei
Ким Хе Су,kim-khe-su
Йе Джи Вон,ie-dzhi-von
Такэдзай Тэруносукэ,takedzai-terunosuke
Роки,roki
Ту Тонтаван Тонтиветчакун,tu-tontavan-tontivetchakun
Сибасаки Ко,sibasaki-ko
Ю Джэ Сок,iu-dzhe-sok
Хаяма Сёно,khaiama-siono
Чан Сон Бом,chan-son-bom
Е Сяо Вэй,e-siao-vei
Чай Би Юнь,chai-bi-iun
Чжу Се Бин,chzhu-se-bin
Жэнь Ю Лунь,zhen-iu-lun
Лу Фан Ци,lu-fan-tsi
Чжоу Юй Тун,chzhou-iui-tun
Цзин Янь Цзюнь,tszin-ian-tsziun
Минт Чалида Витчитвонтон,mint-chalida-vitchitvonton
Чэнь Я Ань,chen-ia-an
Чжан Да Юань,chzhan-da-iuan
Чан Ён Нам,chan-ion-nam
Чо Ё Чжон,cho-io-chzhon
Ким Джи Ын,kim-dzhi-yn
Ай Наттарат Ноппаратаяпон,ai-nattarat-nopparataiapon
Бай Бин,bai-bin
Чон Ён Хва,chon-ion-khva
Ким Ён Дэ,kim-ion-de
Кэлвин Чэнь,kelvin-chen
Ли Джу Бин,li-dzhu-bin
Такацуки Сара,takatsuki-sara
Яда Наринья Кунмонконпхет,iada-narinia-kunmonkonpkhet
Ким Чон Мин,kim-chon-min
Им Се Ми,im-se-mi
Ким Га Ын,kim-ga-yn
У Цзя И,u-tszia-i
Ли Со Джин,li-so-dzhin
Ли Синь Бо,li-sin-bo
Сун Мэй На,sun-mei-na
Мао Сяо Тун,mao-siao-tun
Хён Бин,khion-bin
Нагацума Рэо,nagatsuma-reo
О Джи Ын,o-dzhi-yn
Ху Вэнь Сюань,khu-ven-siuan
Чжин Гён,chzhin-gion
Дансон Тан,danson-tan
У Ган,u-gan
Чэнь Чжэ Юань,chen-chzhe-iuan
Ли Цзя Ци,li-tszia-tsi
Чжао Юй Си,chzhao-iui-si
ВинВин,vinvin
Ким Рэ Вон,kim-re-von
Мамия Сётаро,mamiia-siotaro
Мэгуро Рэн,meguro-ren
Ямада Юки,iamada-iuki
Цзэн Цзин Хуа,tszen-tszin-khua
Син Хён Сын,sin-khion-syn
Вон Джи Ан,von-dzhi-an
Ён Джэ Хён,ion-dzhe-khion
Ся Нань,sia-nan
Накагава Тика,nakagava-tika
Ким Бом,kim-bom
Пак Хи Сун,pak-khi-sun
Чан До Юн,chan-do-iun
Им Джи Соп,im-dzhi-sop
Йорки Сунь,iorki-sun
Тань Цзянь Цы,tan-tszian-tsy
Сун Вэй Лун,sun-vei-lun
Ким Мин Чхоль,kim-min-chkhol
Тан Мэн Цзя,tan-men-tszia
Гао Цзи Цай,gao-tszi-tsai
Кён Су Джин,kion-su-dzhin
Мао Ци Шэн,mao-tsi-shen
Чан Ый Су,chan-yi-su
Нишикидо Рё,nishikido-rio
Яо Чи,iao-chi
Чон Ю Ми,chon-iu-mi
Ём Чон А,iom-chon-a
Ан Джэ Хён,an-dzhe-khion
Сато Тайки,sato-taiki
Оу Хао,ou-khao
Ли Ки У,li-ki-u
Сяо Чжань,siao-chzhan
Люк Исикава Плоуден,liuk-isikava-plouden
Пак Джи Хун,pak-dzhi-khun
Цзян Шу Ин,tszian-shu-in
Плой Канъярат Рыэнрун,ploi-kaniarat-ryenrun
Ким Мин Джун,kim-min-dzhun
Чхве Джэ Ун,chkhve-dzhe-un
Ян Чжи Вэнь,ian-chzhi-ven
Окбэб Чутимон Чынчаронсукйин,okbeb-chutimon-chyncharonsukiin
Хама Сёго,khama-siogo
Мэй Питнат Сакакон,mei-pitnat-sakakon
Мацуюки Ясуко,matsuiuki-iasuko
Ли Мин Джи,li-min-dzhi
Хираяма Хироюки,khiraiama-khiroiuki
Мин Пхиравит Аттачитсатапон,min-pkhiravit-attachitsatapon
Ким Дон Ван,kim-don-van
Цзин Чао,tszin-chao
Хуан Ю Мин,khuan-iu-min
Ван Ин Лу,van-in-lu
Ха Юн Гён,kha-iun-gion
Окамото Рэй,okamoto-rei
Чжан Мяо И,chzhan-miao-i
Чэнь Сюнь,chen-siun
Ян Шо,ian-sho
Хагивара Рику,khagivara-riku
Ким Тэ Хён,kim-te-khion
Цинь Хао,tsin-khao
Чон У Сон,chon-u-son
Ким Ён Джэ,kim-ion-dzhe
Камики Рюноскэ,kamiki-riunoske
Синь Чжи Лэй,sin-chzhi-lei
Гон Ю,gon-iu
Чо Хан Чхоль,cho-khan-chkhol
Ким Вон Хэ,kim-von-khe
Линь Хуэй Минь,lin-khuei-min
Хан Чжон Су,khan-chzhon-su
Юй Шу Синь,iui-shu-sin
Нам Бо Ра,nam-bo-ra
Син Дон Ми,sin-don-mi
Чжан Сяо Фэй,chzhan-siao-fei
Чон Мун Сон,chon-mun-son
Квак Дон Ён,kvak-don-ion
Чжу Минь Синь,chzhu-min-sin
Нене Поннапан Понпенпипат,nene-ponnapan-ponpenpipat
Го Чан Сок,go-chan-sok
Ли Мин Дэ,li-min-de
Кодзима Кэн,kodzima-ken
Ли Лу Лу,li-lu-lu
Чжоу Е,chzhou-e
Хун Сяо,khun-siao
Дун Янь,dun-ian
Чо Хи Бон,cho-khi-bon
Кан Си,kan-si
Пуклук Фонтип Ватчаратракун,pukluk-fontip-vatcharatrakun
Ким Да Сом,kim-da-som
Ли Чун Линь,li-chun-lin
Цзя И,tszia-i
Линь Юй Шэнь,lin-iui-shen
Шэнь Юэ,shen-iue
Сун Бай Вэй,sun-bai-vei
Син Си А,sin-si-a
Бао Хань,bao-khan
Цзяо Цзюнь Янь,tsziao-tsziun-ian
Сюй Цзя Ци,siui-tszia-tsi
Чхве Хён Ук,chkhve-khion-uk
Нукуми Мэро,nukumi-mero
Вэнь Цзюнь Хуэй,ven-tsziun-khuei
Сато Юсукэ,sato-iusuke
Ми Лу,mi-lu
Ким Джин У,kim-dzhin-u
Ли Сын Ги,li-syn-gi
Ким Хе Юн,kim-khe-iun
Кен Пхупум Пхонпану,ken-pkhupum-pkhonpanu
Панпан Сутатта Удомсин,panpan-sutatta-udomsin
Цзэн Шао Цзун,tszen-shao-tszun
Ли Бо Ён,li-bo-ion
Чхве Мин Су,chkhve-min-su
Ли Си Ён,li-si-ion
Ван Цзу И,van-tszu-i
Ван Ань Юй,van-an-iui
Ли Цзун Хань,li-tszun-khan
Цзи Мэй Хань,tszi-mei-khan
Ким Ён Хун,kim-ion-khun
О Джэ Ун,o-dzhe-un
Ким Да Ми,kim-da-mi
Кван Усамани Вайтаянон,kvan-usamani-vaitaianon
Сунь Цзу Цзюнь,sun-tszu-tsziun
Пак Ши Ху,pak-shi-khu
Ан Дон Гу,an-don-gu
Ким Ки Хэ,kim-ki-khe
Чжу Янь Мань Цзы,chzhu-ian-man-tszy
Хуан Бо,khuan-bo
Брайт Вачиравит Чиваари,brait-vachiravit-chivaari
Шэнь Ци,shen-tsi
Пак Джин Ён,pak-dzhin-ion
Пак Кён Хе,pak-kion-khe
Ли Чжон Хён,li-chzhon-khion
Ниихара Тайсукэ,niikhara-taisuke
Дэн Вэй,den-vei
Хан Сон Хва,khan-son-khva
Ли Га Ын,li-ga-yn
Вью Беньяпа Тжинпрасом,viu-beniapa-tzhinprasom
Такахаси Хикару,takakhasi-khikaru
Лай Юй Мэн,lai-iui-men
Шан Сюань,shan-siuan
Пэй Цзы Тянь,pei-tszy-tian
Рю Джин,riu-dzhin
Дай Гао Чжэн,dai-gao-chzhen
Пимми Пимпрапа Танпрапапон,pimmi-pimprapa-tanprapapon
Ким Джи Су,kim-dzhi-su
Чан Ми Кван,chan-mi-kvan
Лю Сюэ И,liu-siue-i
Чжоу Чуань Цзюнь,chzhou-chuan-tsziun
Фу Синь Бо,fu-sin-bo
Ли Вон Гын,li-von-gyn
Чо Юн Хи,cho-iun-khi
Ошинари Шуго,oshinari-shugo
Миками Аи,mikami-ai
Чо Ын Джи,cho-yn-dzhi
О Сын А,o-syn-a
Год Иттипат Танит,god-ittipat-tanit
Нам Сан Ми,nam-san-mi
Ван И Тин,van-i-tin
Ли Хи Чжун,li-khi-chzhun
Ло Юнь Си,lo-iun-si
Хаями Акари,khaiami-akari
Линь Юнь,lin-iun
Чо Сын У,cho-syn-u
Ватанабэ Кэйсукэ,vatanabe-keisuke
Ван Хан Вэнь,van-khan-ven
Микс Сахапхап Вонрат,miks-sakhapkhap-vonrat
Кисий Юкино,kisii-iukino
Порш Саран Сирилак,porsh-saran-sirilak
Го Чэн,go-chen
Ким Рве Ха,kim-rve-kha
Ло Ши Ци,lo-shi-tsi
Май Варит Сирисантана,mai-varit-sirisantana
Ябуки Нако,iabuki-nako
Чжан Синь,chzhan-sin
Ким Му Ёль,kim-mu-iol
Нам Джу Хёк,nam-dzhu-khiok
Со Хён,so-khion
Мукаи Осаму,mukai-osamu
Сяо Юй,siao-iui
Жэнь Хао,zhen-khao
Чэн Фань,chen-fan
Ананда Эверингем,ananda-everingem
Го Хён Чжон,go-khion-chzhon
Сунь И Нин,sun-i-nin
Цзян И И,tszian-i-i
Ким Ю Хван,kim-iu-khvan
Хан Ги Чхан,khan-gi-chkhan
Ваннесс Ву,vanness-vu
Линь Цзе Хуэй,lin-tsze-khuei
Чжэн Цю Хун,chzhen-tsiu-khun
Пак Гю Ён,pak-giu-ion
Чиппи Сирин Придиянон,chippi-sirin-pridiianon
Ким До Ван,kim-do-van
Мелвин Сыа,melvin-sya
Ким Хэ Сук,kim-khe-suk
Ло Чжэн,lo-chzhen
Фу Вэй Лунь,fu-vei-lun
Крин Атсадапон Сириваттанакун,krin-atsadapon-sirivattanakun
Марио Маурер,mario-maurer
Бэнк Атит Танвибунпанит,benk-atit-tanvibunpanit
Чжуан Да Фэй,chzhuan-da-fei
Ли Чан У,li-chan-u
Сюй Бинь,siui-bin
Ли Ын Сэм,li-yn-sem
Чан Ё Бин,chan-io-bin
Чжоу И Жань,chzhou-i-zhan
Хан Сок Гю,khan-sok-giu
Сираиси Май,siraisi-mai
Бянь Чэн,bian-chen
Лу Юй Сяо,lu-iui-siao
Цзян Чэнь,tszian-chen
Гао Хань,gao-khan
Ван Жуй Чан,van-zhui-chan
Мук Мукда Наринрак,muk-mukda-narinrak
Ю Сон,iu-son
Ким Сон А,kim-son-a
Пэт Напапа Тантракун,pet-napapa-tantrakun
Айс Причая Понтананикон,ais-prichaia-pontananikon
Го Сяо Тин,go-siao-tin
Хэ Чан Си,khe-chan-si
Хань Дун,khan-dun
Хон Кён,khon-kion
Го Чжу Вон,go-chzhu-von
Нин Ли,nin-li
A-Moon,a-moon
Алекс Рэнделл,aleks-rendell
Аракава Ёсиёси,arakava-iosiiosi
Ли Чхан Хён,li-chkhan-khion
Нагахама Нэру,nagakhama-neru
Шин Дон Хо,shin-don-kho
Ти Танапон Тжарутжитранон,ti-tanapon-tzharutzhitranon
Акита Сиори,akita-siori
Мон Танатчай Вичитвонтон,mon-tanatchai-vichitvonton
Чхве Мин Сик,chkhve-min-sik
На Ён Хи,na-ion-khi
Мук Воранит Тавонвон,muk-voranit-tavonvon
Джес Тжетпипат Тилапонпат,dzhes-tzhetpipat-tilaponpat
Накамото Юта,nakamoto-iuta
Цзун Фэн Янь,tszun-fen-ian
Ким Мин Джэ,kim-min-dzhe
Ким Со Ён,kim-so-ion
Хван Мин Хён,khvan-min-khion
И Хэн,i-khen
Чон Мин Сон,chon-min-son
Кан Бёль,kan-biol
Хён У,khion-u
Кан Ён Сок,kan-ion-sok
Пак Джу Ми,pak-dzhu-mi
Син Фэй,sin-fei
Со Хё Рим,so-khio-rim
Тун Мэн Ши,tun-men-shi
Би Тассапак Чи,bi-tassapak-chi
Масима Хидэкадзу,masima-khidekadzu
Жэнь Минь,zhen-min
Тор Танапоп Лиратанакатжон,tor-tanapop-liratanakatzhon
Чжан Синь И,chzhan-sin-i
Со Джи Хун,so-dzhi-khun
Кан Син Иль,kan-sin-il
Фудзиока Майто,fudzioka-maito
Чжао Чжи Вэй,chzhao-chzhi-vei
Ли Хён Джу,li-khion-dzhu
Люй Сяо Юй,liui-siao-iui
Тянь Юй,tian-iui
Чхве Дэ Хун,chkhve-de-khun
Су Э,su-e
Цзинь Хань,tszin-khan
Бай Бай Хэ,bai-bai-khe
Исии Анна,isii-anna
Ким Ён Кван,kim-ion-kvan
Ю Сун Чхоль,iu-sun-chkhol
Грет Сапол Асаваманкон,gret-sapol-asavamankon
Масико Ацуки,masiko-atsuki
Вэй Да Сюнь,vei-da-siun
Бо Мэйлада Суси,bo-meilada-susi
Со Кан Джун,so-kan-dzhun
Чжао Юань Юань,chzhao-iuan-iuan
Мун Чжон Хи,mun-chzhon-khi
Чо Пён Гю,cho-pion-giu
Гу Гё Хван,gu-gio-khvan
Ким Дон Ук,kim-don-uk
Нью Тхитипум Течаапайкхун,niu-tkhitipum-techaapaikkhun
Ым Мун Сок,ym-mun-sok
Соль Ин А,sol-in-a
Пак Соломон,pak-solomon
Пэн Гуань Ин,pen-guan-in
Чжоу Цзы Синь,chzhou-tszy-sin
Чон Га Рам,chon-ga-ram
Ким Квон,kim-kvon
Чжоу Чэн Ао,chzhou-chen-ao
Ким Джун,kim-dzhun
Луис Фань,luis-fan
Сяо Юй Лян,siao-iui-lian
Сон Чон Хо,son-chon-kho
Прим Чаникан Танкабоди,prim-chanikan-tankabodi
Ким До Хён,kim-do-khion
Хань Чэн Юй,khan-chen-iui
Со Ын Су,so-yn-su
Ёсида Ё,iosida-io
Бай Юй,bai-iui
Кан Ю Сок,kan-iu-sok
Чхве Мён Гиль,chkhve-mion-gil
Хан Да Соль,khan-da-sol
Гулиначжа,gulinachzha
Син Джэ Ха,sin-dzhe-kha
Юн Ё Чжон,iun-io-chzhon
Чха Тхэ Хён,chkha-tkhe-khion
Ким Джи Хун,kim-dzhi-khun
Сон Чжи Ын,son-chzhi-yn
Эм Апинан Прасетваттанакун,em-apinan-prasetvattanakun
Чон Сок Хо,chon-sok-kho
Чэнь Ши Чэн,chen-shi-chen
Юн Чхан Ён,iun-chkhan-ion
Лю Минь Тин,liu-min-tin
Не Цзи Хао,ne-tszi-khao
Ким Джу Хён,kim-dzhu-khion
Линь И,lin-i
Руби Линь,rubi-lin
Чжао Вэй,chzhao-vei
Пан Мин А,pan-min-a
Катаёсэ Рёта,kataiose-riota
Лю Тэ,liu-te
Чжу Я Вэнь,chzhu-ia-ven
Чон Гон Джу,chon-gon-dzhu
Чон У Ён,chon-u-ion
Чо И Хён,cho-i-khion
Чжоу Цзюнь Чао,chzhou-tsziun-chao
Ван Та Лу,van-ta-lu
Ли Да Ин,li-da-in
Каваниси Такуми,kavanisi-takumi
Сакураба Нанами,sakuraba-nanami
Пэк Мин Хен,pek-min-khen
Чон Ё Бин,chon-io-bin
Ва Эр,va-er
Чжан Синь Юй,chzhan-sin-iui
Дэн Лунь,den-lun
Дун Сюань,dun-siuan
Лю Чан,liu-chan
Куроба Марио,kuroba-mario
Ся Чжи Гуан,sia-chzhi-guan
Патрисия Танчанок Гуд,patrisiia-tanchanok-gud
Марк Чао,mark-chao
Ху И Тянь,khu-i-tian
Ом Пават Читсаванди,om-pavat-chitsavandi
Сюй Вэй Чжоу,siui-vei-chzhou
Чжан Сяо Чэнь,chzhan-siao-chen
Ху Бин Цин,khu-bin-tsin
Тонхом Сакунтала Тиенпайрот,tonkhom-sakuntala-tienpairot
Китаяма Хиромицу,kitaiama-khiromitsu
Дэгути Нацуко,deguti-natsuko
Ван Фэй Фэй,van-fei-fei
Чон Кён Хо,chon-kion-kho
Цуй Хан,tsui-khan
Юй Бо,iui-bo
Соним,sonim
Ким Се Чжон,kim-se-chzhon
Сон Джун Ки,son-dzhun-ki
Ким Чон Тхэ,kim-chon-tkhe
Цао Цзюнь,tsao-tsziun
Жэнь Янь Кай,zhen-ian-kai
Ви Ха Джун,vi-kha-dzhun
Юй Кай Нин,iui-kai-nin
