"name","poster_dorama_src","country","release_year","genre","duration_minutes","duration_episodes","status","translate","actors","desc","slug"
"Би-версия","wp-content\uploads\2023\09\bi-versiya.jpg","Китай","2076","Триллер, Фантастика","1 час 32 мин","94","Выходит","SoftBox","Ким Дон Ван,Ким Пён Ок","К мастеру по ремонту телефонов Сын Хёну обращается известная актриса Мин Ён, попытавшаяся скрыть свою личность. Разве что, актерство женщины завершилось, когда она стала женой амбициозного и жестокого политика. Она пришла с гаджетом, который не подлежал восстановлению, в попытке снять с него важную информацию. Сын Хён сумел извлечь фотоснимки с устройства Мин Ён и пришел в ужас от увиденного. За восстановление подобных снимков мастер может запросить большую сумму. А тем временем, журналистка ищет компромат на политика, который готовится выиграть на предстоящих выборах, и фотоснимки с телефона Мин Ён могут оказаться вполне подходящими.","bi-versiia"
"Пятно","wp-content\uploads\2023\06\pyatno.jpg","Китай","2080","Триллер, Фантастика","1 час 5 мин","65","Выходит","SoftBox","Ли Си У,Пён Со Юн,Ча Хак Ён","Кон Джи Хун — студент музыкального колледжа из бедной семьи. Однажды он провожал своего богатого приятеля домой и увидел у него фотрепиано. Пока приятель был в отъезде, Кон Джи Хун тайно начал практиковать игру в его доме.","piatno"
"Я хочу увидеть твоих родителей","wp-content\uploads\2023\04\ya-xochu-uvidet-tvoix-roditelej.jpg","Китай","2082","Триллер, Фантастика","1 час 51 мин","58","Выходит","SoftBox","Кан Син Иль,Мун Со Ри,Нам Ки Э,Соль Кён Гу,Чхон У Хи","Мальчика из престижной международной средней школы находят без сознания после того, как он упал в озеро. В школе преподаватель обнаруживает оставленную ребёнком прощальную записку, в которой были написаны имена обидчиков. Родителей одноклассников вызывают в школу, среди которых есть высокопоставленные лица. Каждый из родителей пытается спасти своего ребёнка, используя самые грязные способы, в том числе власть, деньги и влияние.","ia-khochu-uvidet-tvoikh-roditelei"
"Полуночное кафе: Исчезновение невесты","wp-content\uploads\2023\04\polunochnoe-kafe.jpg","Китай","2085","Триллер, Фантастика","1 час 42 мин","8","Выходит","SoftBox","Ли И Гён,Чхэ Со Чжин","Молодая пара собирается пожениться и очень ждет этого события, но в день свадьбы неожиданно пропадает жених… Вместо того чтобы плакать и отчаиваться, невеста, которая работает полицейским, отправляется его искать. Специальное приложение на телефоне для влюбленных приводит ее к странному кафе: оно открывается только в полночь, закрывается с рассветом, а посетители этого кафе из разных временных эпох…","polunochnoe-kafe-ischeznovenie-nevesty"
"Ты знаешь аштанга-йогу?","wp-content\uploads\2023\05\ty-znaesh-ashtanga-jogu.jpg","Китай","2090","Триллер, Фантастика","1 час 5 мин","64","Выходит","SoftBox","О Ха Ни,Пэ Юн Гён,Чжу Чжон Хёк","На Ра озадачена популярностью коллеги по работе Ку Хё Чжу, у которой не только тысячи просмотров, но и лайков немеряно. Девушка прикладывает все силы, чтобы разбогатеть, преподавая аштанга-йогу, но дела не идут, к тому же она успевает задолжать арендную плату. Сыну арендодательницы становится жаль симпатичную особу, и он решает брать у неё частные уроки. На Ра предлагает ему преподавателя в лице Хё Чжу, и даже называет круглую сумму за уроки. Соль Тэ Чжун соглашается с размером оплаты, только настаивает на том, чтобы именно она с ним занималась. Деваться некуда, На Ра вынуждена взяться за работу, причем настроена она в отношении ученика весьма настороженно, и никак не ожидала, что между ними сложатся достаточно приятные взаимоотношения.","ty-znaesh-ashtanga-iogu"
"Волчья охота","wp-content\uploads\2022\11\oxota-na-volkov1.jpg","Китай","2096","Триллер, Фантастика","2 часа","33","Выходит","SoftBox","Квон Су Хён,Пак Хо Сан,Со Ин Гук,Сон Дон Иль,Чан Дон Юн,Чан Ён Нам,Чон Мун Сон,Чон Со Мин","Опытные детективы конвоируют двадцать опаснейших преступников на корабле из Филиппин в Корею. Внезапно бандиты устраивают бунт и вступают в противостояние с законниками. В это время в специальном отсеке пробуждается нечто, которое превращает корабль в свои охотничьи угодья.","volchia-okhota"
"Отчет из Апкучжона","wp-content\uploads\2023\03\otchet-iz-apkuchzhona.jpg","Китай","2098","Триллер, Фантастика","1 час 51 мин","59","Выходит","SoftBox","Ма Дон Сок,О Ён Со,О На Ра,Чон Джи Со,Чон Кён Хо,Чхве Бён Мо","Пак Чи У молодой и талантливый пластический хирург, и именно поэтому многие хотят его краха. Герой потерял свою клинику, влез в долги и даже его лицензия отозвана на два года. Парню приходится не сладко, когда он начинает поиски хоть какой-то работы, потому что ему предлагают либо работу с мафиози, либо быть «доктором на замену»… Но все эти проблемы могут быть решены, как только Пак Чи У согласится работать с Кан Дэ Гуком — мужчиной, который ни чем особо не занимается, но зато имеет много идей и связей. На этот раз он решает открыть бизнес в пластической хирургии и теперь нашему герою предстоит пройти весь путь от начала бизнеса до его успешной реализации.","otchet-iz-apkuchzhona"
"Тоже","wp-content\uploads\2023\03\tozhe.jpg","Таиланд","1984","Триллер, Фантастика","1 час 54 мин","49","Выходит","SoftBox","Ё Чжин Гу,Ким Хе Юн,На Ин У,Пэ Ин Хёк,Чо И Хён","Студент Ким Ён учится на факультете машиностроения. Однажды с ним по радио связывается девушка Му Хи, которая утверждает, что учится с ним в одном вузе. Они договариваются встретиться, но вот незадача – в реальности их встреча невозможна, так как он живет в 1990-х, а она в 2020-х.","tozhe"
"Сеульские городские легенды","wp-content\uploads\2022\11\seulskie-gorodskie-legendy.jpg","Таиланд","1996","Триллер, Фантастика","2 часа","3","Выходит","АрхиАзия","Ли Мин Хёк,Ли Су Мин,Ли Хо Вон,Чон Вон Чхан","Фильм состоит из нескольких историй, каждая из которых рассказывает о таинственных и страшных происшествиях. Девушка в красном платье, преследующая молодых женщин, которые таинственным образом кончают жизнь самоубийством… Страшилки врачей о редких и казалось бы исчезнувших заболеваниях… Месть той, которую сбил автомобиль… Истории, которые пугают и будоражат кровь: выдумка или правда? Было ли что-то из этого на самом деле? И откуда взялись эти городские легенды?","seulskie-gorodskie-legendy"
"Джентльмен","wp-content\uploads\2023\08\dzhentlmen.jpg","Таиланд","2001","Триллер, Фантастика","2 часа","31","Выходит","SoftBox","Пак Сон Ун,Чжу Чжи Хун,Чхве Сон Ын","Частный детектив Чжи Хён Су и подумать не мог, что, помогая незнакомке вернуть собаку, которую отобрал бывший муж, встрянет в крайне запутанную историю. Полиция подозревает в похищении девушки молодого мужчину со шрамом на ключице, а таковой имеется на теле Чжи, а прокурор задерживает сыщика и усаживает к себе в машину, после чего они попадают в серьезную аварию. Чжи Хён Су был доставлен в больницу под именем прокурора Ким Хва Джина, а тот находится в коме, но по ожиданиям медиков выйдет из неё через неделю. Правда о том, кем является Чжи Хён, вскроется, и сыщику придется покорпеть над тем, чтобы обелить свое имя от подозрений, а чтобы справиться с этой задачей, придется просить о помощи Ким Хва.","dzhentlmen"
"Рождественская песнь","wp-content\uploads\2023\04\rozhdestvenskaya-pesn.jpg","Таиланд","2003","Триллер, Фантастика","2 часа 10 мин","26","Выходит","STEPonee","Ким Дон Хви,Ким Ён Мин,Пак Джин Ён,Сон Гон Хи","Чу Иру 18 лет и он собирается отомстить за смерть брата. Для этого герой намеренно попадает в колонию. Парень уверен, что брат умер не случайно и не по своей воле, только вот полиция не захотела расследовать всё тщательно и преступники остались наказаны не до конца, поэтому Чу Иру решил сам воздать им сполна. Но попав сюда, хватит ли ему той злости, чтобы выжить самому? Хватит ли смелости, противостоять преступникам и тем, кто ими управляет?","rozhdestvenskaia-pesn"
"Существо внутри","wp-content\uploads\2023\08\sushhestvo-vnutri.jpg","Таиланд","2006","Триллер, Фантастика","1 час 46 мин","72","Выходит","SoftBox","О Ён Силь,Пак Джин У,Рю Хва Ён,Чон Дон Хун","Ын Су — начинающий сценарист. Она не спит до глубокой ночи, готовясь к конкурсу, и все время слышит странные звуки в квартире наверху. Но когда девушка пытается выяснить, что же такое происходит у соседа, то сталкивается со страшной правдой и не знает, что с ней делать…","sushchestvo-vnutri"
"Признание","wp-content\uploads\2022\12\priznanie-2022.jpg","Таиланд","2008","Триллер, Фантастика","1 час 45 мин","74","Выходит","SoftBox","Ким Юн Чжин,Нана,Со Чжи Соп,Хван Сон Хи","Ю Мин Хо — директор преуспевающей IT — компании. В его жизни есть всё: репутация, власть, деньги, семья и даже любовница. Но роковой случай, после которого героя подозревают в убийстве, всё рушит. Нанимая лучшего адвоката Ян Ши Э, у которой нет проваленных дел и всегда 100% успех, Ю Мин Хо уверен, что скоро будет свободен. Однако проницательной и принципиальной героине придётся много потрудиться, чтобы докопаться до правды, ведь, выстраивая цепочку событий, она должна доказать невиновность клиента. А если Ю Мин Хо сама в ней не уверенна?..","priznanie"
"6/45","wp-content\uploads\2022\12\645.jpg","Таиланд","2010","Триллер, Фантастика","1 час 52 мин","57","Выходит","SoftBox","Го Кён Пё,Квак Дон Ён,Ли И Гён,Пак Се Ван,Син Вон Хо,Ым Мун Сок","Южнокорейский пограничник Чун У совершенно случайно находит выигрышный лотерейный билет. В злополучный день, ветер унёс счастливый билетик через границу, в Северную Корею.","6-45"
"Нарковойна 2","wp-content\uploads\2023\11\narkovojna-2.jpg","Китай","2029","Триллер, Фантастика","1 час 56 мин","43","Выходит","SoftBox","Ким Дон Ён,Ли Чжу Ён,Хан Хё Чжу,Чо Джин Ун","«Нарковойна 2» — продолжение первой части. Расследования детектива Вон Хо приводят к загадочному наркобарону по имени Учитель Ли. Он встречает человека, который знает настоящую личность преступника, и намерен его отыскать во чтобы то ни стало. Чем закончится его война с миром зла, узнаем после просмотра фильма.","narkovoina-2"
"Убить Бок Сун","wp-content\uploads\2023\03\ubit-bok-sun.jpg","Китай","2030","Триллер, Фантастика","2 часа 17 мин","17","Выходит","SoftBox","Гу Гё Хван,Исом,Ким Сон О,Ли Джэ Ук,Соль Кён Гу,Хван Чон Мин,Чон До Ён,Чхве Бён Мо","Бок Сун — профессиональная убийца. Уже много лет она работает на босса Мин Гю и всегда чисто и вовремя выполняет его заказы: убивает всех, кто ему не мил.","ubit-bok-sun"
"Неофициальная операция","wp-content\uploads\2023\09\neoficialnaya-operaciya.jpg","Китай","2033","Триллер, Фантастика","2 часа 12 мин","23","Выходит","SoftBox","Пак Хёк Квон,Ха Чон У,Чжу Чжи Хун","В 1986 году в Бейруте похищают южнокорейского дипломата, в связи с чем разрабатывается операция по его спасению. Удивительным образом к ней привлекают рядового сотрудника Мин Джун, который мечтал поучаствовать в чем-то значимом, но его лишь назначали на работу в Америке.","neofitsialnaia-operatsiia"
"Во сне","wp-content\uploads\2023\09\vo-sne.jpg","Китай","2037","Триллер, Фантастика","1 час 28 мин","102","Выходит","SoftBox","Ким Сын Су,О Чжи Хо,Со Хё Рим,Юн Чхэ Гён","В центре внимания сюжета — женщина, которая участвует в клинических исследованиях и обнаруживает, что может перемещаться во снах и контролировать чужие сновидения. Однажды она перемещается в сон к своей подруге и встречает там маньяка, который уже много времени убивает женщин в городе.","vo-sne"
"Мечта","wp-content\uploads\2023\06\mechta-2023.jpg","Китай","2040","Триллер, Фантастика","2 часа 5 мин","8","Выходит","SoftBox","АйЮ,Го Чан Сок,Кан Ха Ныль,Ли Хён У,Пак Со Джун,Пэк Джи Вон,Чон Сок Хо","В центре внимания сюжета талантливый футболист Юн Хон Дэ, который из-за дисциплинарного взыскания оказался тренером футбольной команды, состоящей из бездомных. Каждый участник команды преследует свои цели, в том числе и режиссер-постановщик, которая мечтает стать известной благодаря документальному фильму о необычной команде.","mechta"
"Убийца","wp-content\uploads\2023\08\ubijca1.jpg","Китай","2043","Триллер, Фантастика","1 час 42 мин","79","Выходит","SoftBox","Ли Мун Сик,Син Хён Чжун,Хон Ын Ги","Войны прокатились по Чосону, погрузив тот в хаос, что сказалось на всех уровнях правления страной. Стали создаваться законы, не защищающие интересы простых людей, а с несогласными чиновники расправлялись при помощи наемных убийц. К числу таковых принадлежал Ли Нан, и в своем деле он стал лучшим. Никто не знал, на кого именно работает этот человек, но точно было известно, что задания он исполнял безукоризненно. Однажды Ли Нан почувствовал себя плохо и вынужден был обратиться за помощью к лекарю. Боли в сердце заставляют Ли Нана прекратить убийственный промысел, и попытаться скрыться там, где его на отыщут. Справиться с этой задачей у него не получается.","ubiitsa"
"Чон И","wp-content\uploads\2023\01\chon-i.jpg","Китай","2055","Триллер, Фантастика","1 час 39 мин","88","Выходит","SoftBox","Ким Хён Чжу,Рю Кён Су","Действие сюжета разворачивается в будущем XXII веке, когда климатические условия сильно изменились, и планета стала непригодной для жизни.","chon-i"
