"name","poster_dorama_src","country","release_year","genre","duration_minutes","duration_episodes","status","translate","actors","desc","slug"
"Навстречу опасности","wp-content\uploads\2021\06\navstrechu-opasnosti.jpg","Китай","2019","Боевик","45 мин","4","Выходит","Дораманутая","Ван Жунь Цзэ,Вань Пэн,Вэй Чжэ Мин,Ма Синь Мо,Хоу Пэй Шань,Чжан Хэ","Сюжет дорамы «Навстречу опасности» разворачивается вокруг трёх молодых людей. Все они — парамедики, которые теперь работают с вертолетной спасательной командой. Совершенно новая обстановка поначалу будет сбивать с толку, однако вскоре герои привыкнут к этому. Сейчас под угрозой находятся не только жизни тех, к кому они прибыли на помощь, но и их собственные, ведь спасательные операции проводят в самых разных, далеко не всегда благоприятных условиях. Как герои будут спасать жизни, невзирая на обстоятельства, узнаем, посмотрев дораму.","navstrechu-opasnosti"
"Слава спецназа","wp-content\uploads\2022\04\slava-specnaza.jpg","Китай","2022","Боевик","40 мин","45","Выходит","Дораманутая","Гао Синь,Ли И Тун,Ян Ян","Следуя по стопам отца, молодой человек Ян По Юэ поступает в военную академию. Он обладает хорошими физическими данными, замечательной подготовкой и думает, что без труда попадет в элитную группу.","slava-spetsnaza"
"Пьета","wp-content\uploads\2023\01\peta.jpg","Китай","2049","Боевик","1 час 45 мин","77","Выходит","Колобок","Квон Юль,Ли Чон Джин","Главный герой Ли Ган До жесток и беспощаден. Он зарабатывает на жизнь тем, что выколачивает деньги у должников ростовщика. И делает это весьма сурово, калеча и унижая людей, чтобы в будущем они могли оформить страховку, которую и берут в качестве основной платы.","peta"
"Охотничьи псы","wp-content\uploads\2023\06\oxotnichi-psy.jpg","Южная Корея","2023","Боевик, Боевые искусства, Драма","1 час","8","Выходит","SoftBox","Ли Сан И,Пак Сон Ун,У До Хван,Хо Джун Хо,Чхве Ён Джун,Чхве Ши Вон","В центре внимания два парня-боксера, которые из-за долгов семьи вынуждены были спешно решать сложные задачи.","okhotnichi-psy"
"Козырные войска","wp-content\uploads\2021\12\kozyrnye-vojska.jpg","Китай","2021","Боевик, Военный","45 мин","4","Выходит","Дораманутая","Бай Лу,Сяо Чжань,Хуан Цзин Юй,Чжун Чу Си","Дорама «Войска особого назначения» окунет Вас в самые тяжелые, душетрепещущие времена. Когда судьба каждого находилась на волоске от смерти, когда от принятого решения зависело всё! Китай… 1983 год…","kozyrnye-voiska"
"Обязанности после школы","wp-content\uploads\2023\03\obyazannosti-posle-shkoly.jpg","Южная Корея","2023","Боевик, Военный, Драма, Триллер, Фантастика","1 час 14 мин","1","Выходит","SoftBox","Ан До Гю,Квон Ын Бин,Ким Ки Хэ,Ким Мин Чхоль,Ким Су Гём,Мун Сан Мин,Пак Чжон Ён,Син Мён Сон,Син Хён Су,Сон Джи Ру,Чжи Мин Хёк,Юн Чон Бин","По всему миру появились неопознанные летающие шары, которые зависли в небе и долгое время ничего не происходило. Так продолжалось до тех пор, пока в Корее один из таких шаров не упал на Землю. В этот момент спокойная и благополучная жизнь закончилась, ведь повсюду появились странные существа в виде какой-то слизи нападающей на людей.","obiazannosti-posle-shkoly"
"Я так долго тебя ждал","wp-content\uploads\2023\08\ya-tak-dolgo-tebya-zhdal.jpg","Южная Корея","2023","Боевик, Детектив, Драма, Триллер","1 час 9 мин","14","Выходит","SoftBox","Ким Джи Ын,Ким Хи Чон,На Ин У,Пэ Чон Ок,Сон Сын Ха,Хён У Сон,Чхве Мин Ги","В городе Уджин обычно тихо и спокойно, о чем часто говорит детектив О Джин Сон. Но однажды его любимый младший брат становится главным подозреваемым в убийстве, и с того момента детектив оказывается втянут в череду различных странных происшествий. Вскоре наружу всплывают страшные тайны, и теперь героем движет только месть…","ia-tak-dolgo-tebia-zhdal"
"Захват больницы","wp-content\uploads\2023\09\zaxvat-bolnicy.jpg","Япония","2023","Боевик, Детектив, Драма, Триллер","45 мин","1","Выходит","SoftBox","Асакава Нана,Кикути Фума,Кобаяси Рёко,Омидзу Ёсукэ,Ошинари Шуго,Сакурай Шо,Сирасу Джин,Соним,Хига Манами,Хираяма Хироюки","Главную больницу Кайсэйдо неожиданно захватывает группа людей в масках дьявола. Всех, кто находился внутри, берут в заложники. Перед детективом в отставке Сабуро, находящимся в этот момент в больнице, предстает сложная задача: выполнить условия захватчиков и спасти людей, ведь среди заложников его жена, которая продолжает проводить операцию даже под дулом пистолета.","zakhvat-bolnitsy"
"Истинный грех","wp-content\uploads\2018\12\istinnyj-grex.jpg","Китай","2018","Боевик, Детектив, Криминал","50 мин.","24","Выходит","DubLik-TV","Бай Бин,Инь Чжэн,Чжай Тянь Линь","Главный герой дорамы «Истинный грех» Чи Чжэн, адвокат, который не останавливается перед давлением сильных мира сего, чем порядком надоел как полиции так и влиятельным людям. Однажды молодой полицейский Лу Ли обвиняет его в нарушении закона и Чи Чжэна, лишив адвокатской лицензии, сажают в тюрьму. Спустя четыре года Ли Лу сделал успешную карьеру и стал начальником полиции, а бывший адвокат выйдя из тюрьмы, стал весьма успешным бизнесменом. Судьба снова сводит их вместе, чтобы дать шанс разобраться со старыми обидами и наказать настоящих преступников.","istinnyi-grekh"
"Уголовное преследование","wp-content\uploads\2021\10\ugolovnoe-presledovanie.jpg","Китай","2021","Боевик, Детектив, Криминал","42 мин","28","Выходит","Дораманутая","Лю И Цзюнь,У Сяо Лян,Цзян Шу Ин,Чжан И Син","Сюжет дорамы «Уголовное преследование» разворачивается вокруг честного полицейского по имени Ли Чэньян. Однажды он сталкивается с начальством в лице начальника службы безопасности, который пытается помешать ему раскрыть дело. Вскоре его и вовсе подставляют, и герой отправляется в тюрьму. Через какое-то время он выходит, горящий желанием уничтожить преступные группировки, орудующие в городе, и наказать коррумпированных чиновников, находящихся у власти.","ugolovnoe-presledovanie"
"Честь полиции","wp-content\uploads\2022\05\chest-policii.jpg","Китай","2022","Боевик, Драма","45 мин","38","Выходит","Дораманутая","Бай Лу,Нин Ли,Сюй Кай Чэн,Чжан Жо Юнь","Сериал расскажет истории четырех молодых людей, приступающих к полицейской службе. Вступая в ряды служителей закона, каждый из новичков преследует свою цель: кто-то воплощает детскую мечту, а кто-то идет по пути родителей. У каждого из них есть свое представление о профессии, поэтому все они удивлены, когда сталкиваются с реальностью. Оказывается, чтобы стать хорошим полицейским недостаточно просто ловить преступников, важно еще не сломаться под давлением СМИ, а также суметь противостоять начальству и другим сложностям. Смогут ли молодые стажеры выстоять или вконец разочаруются в выбранном пути?","chest-politsii"
"Двойная дикость","wp-content\uploads\2023\04\dvojnaya-dikost.jpg","Таиланд","2023","Боевик, Драма","45 мин","12","Выходит","SoftBox","Байтой Зувапит Трайпонворакит,Перт Танапон Сукумпантанасан","Трое братьев и сестёр Ли, Пакорн и Павин родились в тайско-китайской семье и выросли очень близкими людьми. Их отец Го Бенг всегда относился к Пакорну предвзято, который родился как раз в разгар экономического кризиса и поэтому считался «несчастливым» для семьи. А Павин, родившийся, когда экономика росла, является золотым ребенком, гордостью и радостью их отца.","dvoinaia-dikost"
"Слёзы в огне","wp-content\uploads\2021\11\slyozy-v-ogne.jpg","Тайвань","2021","Боевик, Драма","48 мин","1","Выходит","SoftBox","Линь Бо Хун","Дорама рассказывает о непростых буднях команды спасателей. Ежедневно рискуя жизнью, членам команды приходится сталкиваться с горестями и несчастьями других, хотя у каждого имеется своя жизнь и своя история.","sliozy-v-ogne"
"Слабый герой","wp-content\uploads\2022\11\slabyj-geroj.jpg","Южная Корея","2022","Боевик, Драма","45 мин","8","Выходит","SoftBox","Ким Су Гём,Пак Джи Хун,Син Сын Хо,Хон Кён,Чо Хан Чхоль,Чха У Мин,Чхве Хён Ук,Ю Су Бин","Главный герой дорамы Ён Ши Ин – один из самых умных в классе. Он занимает первые места, им гордится отец, а учителя держат на хорошем счету. Но высший балл не делает его сильным физически, и парню часто приходится терпеть нападки от своих одноклассников.","slabyi-geroi"
"Семья","wp-content\uploads\2023\05\semya.jpg","Южная Корея","2023","Боевик, Драма, Комедия, Триллер","1 час 5 мин","12","Выходит","SoftBox","Ким Кан Мин,Ли Чхэ Ён,Чан На Ра,Чан Хёк,Чха Ин Пё,Чха Тхэ Хён,Чхэ Чжон Ан","Квон Ду Хон и Кан Ю Ра – любящие муж и жена. Но Квон Ду Хон постоянно пропадает на работе, и из-за этого они с женой часто ругаются, ведь такие важные даты, как годовщина свадьбы или рождение дочки, он пропускает. Его отец, брат и невестка часто помогают помириться с женой, и никто не догадывается, что на самом деле он вовсе не офисный работник, которым притворяется, а агент национальной разведывательной службы. Все его пропуски и опоздания связаны с важными заданиями.","semia"
"День собак 2: Преследование дезертиров","wp-content\uploads\2023\07\den-sobak-2.jpg","Южная Корея","2023","Боевик, Драма, Криминал","40 мин","6","Выходит","SoftBox","Гу Гё Хван,Ким Сон Гюн,Сон Сок Гу,Чжи Чжин Хи,Чон Хэ Ин,Чхве Хён Ук,Ю Су Бин","«День собак: преследование детективов 2» — продолжение истории о специальным отряде D.P., который занимается охотой за дезертирами.","den-sobak-2-presledovanie-dezertirov"
"Опасная зона","wp-content\uploads\2021\09\opasnaya-zona.jpg","Тайвань","2021","Боевик, Драма, Криминал, Триллер","54 мин","24","Выходит","SoftBox","Вик Чоу,Цзэн Цзин Хуа","Сюжет дорамы «Опасная зона» разворачивается вокруг крупного дела о серийных убийствах. В городе орудует серийный убийца, который идеально планирует свои преступления. Улик нет, подозреваемых нет. Это уникальное дело заставило полицию и преступников объединиться. Смогут ли лучшие умы закона и криминального мира поймать страшного убийцу, узнаем, посмотрев дораму.","opasnaia-zona"
"Такси делюкс 2","wp-content\uploads\2023\02\taksi-delyuks-2.jpg","Южная Корея","2023","Боевик, Драма, Криминал, Триллер","1 час 10 мин","16","Выходит","SoftBox","Гым Кван Сан,Ли Чжэ Хун,Пак Хо Сан,Пё Йе Чжин,Син Джэ Ха,Чан Хёк Джин","«Такси делюкс 2» — продолжение истории необычных таксистов, которые не просто отвозят своих клиентов по нужному адресу, а принимают у них заказы на месть обидчикам.","taksi-deliuks-2"
"Худшее из зол","wp-content\uploads\2023\09\xudshee-iz-zol.jpg","Южная Корея","2023","Боевик, Драма, Криминал, Триллер","53 мин","12","Выходит","SoftBox","Биби,Ви Ха Джун,Гым Кван Сан,Им Се Ми,Чжи Чан Ук,Чон Джэ Кван","Кан Джун Мо — простой полицейский. Он любит свою работу и свою жену, которая тоже является сотрудником полиции, но выше его по рангу. Однажды ему предлагают поучаствовать в операции под прикрытием и раскрыть дело Чон Ки Чоля, восходящего босса мафии, а взамен предлагают повышение по службе. Кан Джун Мо соглашается и вскоре оказывается втянут в опасный мир незаконного бизнеса.","khudshee-iz-zol"
"Свет жизни","wp-content\uploads\2022\10\svet-zhizni.jpg","Китай","2022","Боевик, Драма, Мелодрама","45 мин","4","Выходит","Light Breeze","Ли Мин Дэ,Ли Тин Тин,Ло Юнь Си,Сюй Шао Ин,У Цянь","Дорама повествует нам о жизни адвоката Ло Бэнь и его сестры Ло Юань. В один из дней, в городе, где находилась сестра главного героя, происходит землетрясение. И Ло Бэнь незамедлительно отправляется на ее поиски. На месте происшествия юноша встречает группу спасателей, которые берут его в свой круг для дальнейшего обучения","svet-zhizni"
"Из-за любви","wp-content\uploads\2023\01\iz-za-lyubvi.jpg","Таиланд","2023","Боевик, Драма, Мелодрама","1 час 7 мин","18","Выходит","SoftBox","Джеймс Ма,Тун Пимпави Кокрабин","Лин и Синг муж и жена, но только фиктивно. Девушка обладает способностью видеть опасность или даже смерть, которая подстерегает человека находящегося рядом, поэтому герой взял её в жены, у него имеется давний враг, желающий погибели парня. Шесть лет назад угроза миновала и Синг, как и обещал, отпустил Лин, чтобы та жила свободно и независимо. Но однажды убийца объявляется вновь и угрожает не только герою, но и девушке. Парень появляется перед независимой Лин и напоминает, что они всё ещё женаты и должны находиться вместе. Что это: желание защитить от смерти себя или спасти любимую? Сможет ли герой завоевать сердце строптивой Лин и избежать гибели от рук врага?","iz-za-liubvi"
"В движении","wp-content\uploads\2023\08\v-dvizhenii.jpg","Южная Корея","2023","Боевик, Драма, Мистика, Фэнтези","42 мин","2","Выходит","SoftBox","Го Юн Чжон,Ким До Хун,Ким Сон Гюн,Ким Хи Вон,Ли Джон Ха,Рю Сын Рён,Хан Хё Чжу,Чо Ин Сон","Два парня и девушка, кажущиеся обычными подростками, о которых трепетно заботятся любящие родители, представляют собой людей со сверхспособностями. Особые умения они получили от своих родителей, которые старательно скрывают тайны своего прошлого, а, кроме того, берегут в секрете и правду о своих детях. Подростки также не спешат демонстрировать миру то, на что способны. Обычная жизнь ничуть не тяготит уникальных детей. Родители юных героев беспокоятся за судьбу отпрысков, и их опасения не напрасны, ведь существует секретная организация, которой требуются сверхлюди для определенных целей. А также опасность исходит и от некоего Фрэнка.","v-dvizhenii"
"Пандора: Сфабрикованный рай","wp-content\uploads\2023\03\pandora-sfabrikovannyj-raj.jpg","Южная Корея","2023","Боевик, Драма, Триллер","1 час","16","Выходит","SoftBox","Ан Нэ Сан,Ли Сан Юн,Ли Чжи А,Пак Ки Ун,Чан Хи Джин","Пё Джэ Хён – талантливый ученый. Вместе со своими друзьями он разработал революционное медицинское устройство, которое напрямую позволяет вводить любые данные в мозг. После того, как устройство было опробовано и одобрено, мужчина заявил, что хочет выдвинуть свою кандидатуру в президенты.","pandora-sfabrikovannyi-rai"
"C тобой в день конца света 4","wp-content\uploads\2023\05\c-toboj-v4.jpg","Япония","2023","Боевик, Драма, Фантастика","44 мин.","5","Выходит","XDUB DORAMA","A-Moon,Ван И Лунь,Син Чжао Линь,Цзун Фэн Янь,Чжан Сюэ Ин,Юй И Цзе","Прошло уже почти два года после того, как Хибики потерял всех своих близких. Раненый и одинокий он скитается в хаосе зомби-апокалипсиса, но внезапно встречает группу Фонда Ниияма во главе с Асухой и воссоединяется со своей бывшей спутницей Канаэ. От них он узнает, что его ребенок Мирай находится в «Утопии», городе, который по слухам стал последней надеждой человечества.","c-toboi-v-den-kontsa-sveta-4"
"Братство клинков: Тень гор и рек","wp-content\uploads\2023\03\bratstvo-klinkov-ten-gor-i-rek.jpg","Китай","2023","Боевик, Исторический","45 мин","24","Выходит","Всё сведено","Чжан Юнь Лун,Чэнь Жо Сюань","Дорама расскажет историю двух юношей: Ли У, который раньше был вором, а ныне владельцем павильона и шпионом тайной императорской службы, а также охранника Лу Чжэна.","bratstvo-klinkov-ten-gor-i-rek"
"Вор: Звук меча","wp-content\uploads\2023\09\vor-zvuk-mecha.jpg","Южная Корея","2023","Боевик, Исторический, Мелодрама, Триллер","1 час 10 мин","9","Выходит","SoftBox","Ким Нам Гиль,Ли Хён Ук,Со Хён,Ю Джэ Мён","Япония захватили Корею, жестоко подавив восстание повстанцев, а по прошествии лет бывший раб, ставший солдатом, Ли Юн продолжал корить себя за совершенные убийства. Майор, давший свободу Ли, требует от него вернуться в ряды армии, грозясь его пристрелить, но тот уезжает. Вместе с несколькими другими смельчаками, не принявшими чужой власти, он отправляется в Цзяньдао, представляющий собой китайские земли, где закон не властен над людьми. Здесь они намерены обрести новую родину. В эти земли направляется наемная убийца Ен Нён, чтобы отомстить Ли Юну. Лейтенанту Ли не скрыться от событий, при которых снова проливается кровь.","vor-zvuk-mecha"
"За твоим прикосновением","wp-content\uploads\2023\08\za-tvoim-prikosnoveniem1.jpg","Южная Корея","2023","Боевик, Комедия, Криминал, Мелодрама, Фантастика","1 час 7 мин","16","Выходит","DubLik-TV","Ли Мин Ки,Пак Сон Ён,Пак Хёк Квон,Сухо,Хан Джи Мин,Чжу Мин Гён,Чон И Ран,Чхве Хи Джин","Пон Йе Бун работает ветеринаром в маленьком городе. Однажды во время метеоритного дождя, когда она была на выезде, с ней произошла одна странность, и с того момента у девушки обнаружились сверхъестественные способности: прикоснувшись к кому-либо, она видит его прошлое. Поначалу девушку пугает это дар, но постепенно она находит ему применение, помогая не только животным, но и людям.","za-tvoim-prikosnoveniem"
"Секрет льва","wp-content\uploads\2022\01\sekret-lva.jpg","Китай","2021","Боевик, Комедия, Мелодрама","45 мин","33","Выходит","Unicorn","Майк Хэ,Чжу Я Вэнь,Ян Цзы Шань","Му Ван Цин — молодая и амбициозная девушка. Она глава компании, и старается выполнять свою работу чётко и властно. Но героиня никому не доверяет и каждый вечер запирается в своей комнате, чтобы хоть как-то обрести спокойствие. Чтобы получить доверие акционеров и власть в компании, девушка соглашается на брак. Причём мужа — Лю Цина — ей выбирают родители. Парень — сын друга семьи, но давно не видел ни Му Ван Цин, ни её родителей. Однако он помнит её ещё девочкой и поэтому соглашается помочь. И теперь строптивую героиню будет не только оберегать, но и укрощать бывший спецназовец, кем на самом деле и является Лю Цин.","sekret-lva"
"Мой милый телохранитель","wp-content\uploads\2022\11\moj-milyj-teloxranitel.jpg","Таиланд","2022","Боевик, Комедия, Мелодрама","1 час 25 мин","12","Выходит","SoftBox","Вилл Ваннарот Сонтичай,Кен Пхупум Пхонпану","Теван — молодой и богатый парень, глава компании, однако не всё в его жизни так радужно. Трагически потеряв сестру с её мужем, герой остался опекуном маленького племянника. Но и это ещё не всё : смерть членов его семьи не случайна, ведь где власть и деньги, там враги и убийства. Поэтому и жизнь Тавана оказывается под угрозой. Герой решает нанять телохранителя и не нашёл никого лучше на эту роль, чем девушку по имени Сарапи, которая неоднократно спасала его. Героиня же очень удивлена выбором парня, ведь она всего лишь каскадёрша и действовала по ведению сердца, не прося за помощь ничего в замен. Почему же именно она? И сможет ли девушка защитить Тавана, не потеряв собственное сердце навсегда?","moi-milyi-telokhranitel"
"Силачка Кан Нам Сун","wp-content\uploads\2023\10\silachka-kan-nam-sun.jpg","Южная Корея","2023","Боевик, Комедия, Мелодрама, Фантастика","1 час","16","Выходит","SoftBox","Ким Хэ Сук,Ким Чон Ын,Ли Ю Ми,Он Сон У,Пак Бо Ён,Пак Хён Сик,Пён У Сок,Чу У Чжэ,Чхве Хи Джин","Кан Нам Сум всегда была необычным ребенком, так как обладала просто нечеловеческой силой и способна победить любого мужчину. Но узнать, откуда у нее этот дар, девочка не могла: она потерялась в Монголии в далеком детстве и не помнила своих родителей.","silachka-kan-nam-sun"
"Чудесный слух 2: Ответный удар","wp-content\uploads\2023\07\chudesnyj-slux-2.jpg","Южная Корея","2023","Боевик, Комедия, Мистика, Триллер","1 час 15 мин","12","Выходит","SoftBox","Ан Сок Хван,Кан Ки Ён,Ким Се Чжон,Ким Хиора,Ли Чхан Хён,Чо Пён Гю,Ю Джун Сан,Ю Ин Су","«Чудесный слух 2: ответный удар» — продолжение истории охотников на злых духов, которые работают под прикрытием в ресторане лапши.","chudesnyi-slukh-2-otvetnyi-udar"
"Похититель: Хранитель сокровищ","wp-content\uploads\2023\04\poxititel-xranitel-sokrovishh.jpg","Южная Корея","2023","Боевик, Комедия, Приключения","1 час","12","Выходит","SoftBox","Ким Ён Джэ,Ким Чжэ Вон,Ли Джу У,Ли Док Хва,Чжу Вон,Чо Хан Чхоль","В центре внимания сюжета следственная группа «Карма», занимающаяся защитой исторических ценностей и ловлей охотников за ценными артефактами.","pokhititel-khranitel-sokrovishch"
"Свеча в гробнице: Святыня Куньлунь","wp-content\uploads\2022\11\svecha-v-grobnice-svyatynya-kunlun.jpg","Китай","2022","Боевик, Приключения","34 мин","16","Выходит","SoftBox","Чжан Юй Ци","Ху Байи, Ширли Ян и Толстяк Ван отправились в гробницу императора Сянь в Юньнане, чтобы избавиться от проклятия красного пятна. После опасного приключения, они наконец, находят ключ к снятию проклятия — сфера птичьей пыли. Но главные герои не знают, как её использовать. Оказавшись в безвыходной ситуации Ху Байи вспоминает свой мистический опыт, который он пережил когда был солдатом. Парень решает поехать в Куньлунь, чтобы посмотреть, что он сможет найти.","svecha-v-grobnitse-sviatynia-kunlun"
"Затерянные в горах Куньлунь","wp-content\uploads\2022\08\zateryannye-v-gorax-kunlun2.jpg","Китай","2022","Боевик, Приключения, Фэнтези","44 мин","36","Выходит","Дораманутая","Сюй Кай,Хэ Фэн Тянь,Хэй Цзэ,Чжан Синь Юй,Чжун Чу Си","Дин Юньци — наследник главы 5 врат — получает от отца письмо с просьбой вернуться на родину. Но когда герой приезжает, то обнаруживает, что отца подозревают в расхищении сокровищ, а сам он пропал без вести. Независимый и бойкий Дин Юньци решает найти отца, а тайно помогать ему собирается Ушуан, подруга детства и ученица противоборствующей общины. Но действовать герою придётся скрытно и на своё усмотрение, потому что поисками заинтересованы и полиция, и община хранителей. Кто победит в этой гонке и что случилось с отцом Дин Юньци мы узнаем, посмотрев дораму.","zateriannye-v-gorakh-kunlun"
"Линчеватель","wp-content\uploads\2023\11\linchevatel.jpg","Южная Корея","2023","Боевик, Триллер","50 мин","8","Выходит","SoftBox","Ким Со Джин,Ли Джун Хёк,Нам Джу Хёк,Ю Джи Тхэ","Однажды у маленького мальчика Ким Джи Ёна убили мать, а преступника не наказали как следует. Тогда спустя двенадцать лет Ким Джи Ён решает стать линчевателем, темным героем, который расправляется с теми, кто безнаказанно совершает преступления. Теперь днем он — талантливый студент полицейской академии, живущий по правилам, его любят преподаватели и у него много друзей. Ночью же Ким Джи Ён — черный мститель, и лучше не оказываться на его пути.","linchevatel"
"Чёрный рыцарь","wp-content\uploads\2023\05\chyornyj-rycar-2023.jpg","Южная Корея","2023","Боевик, Фантастика","47 мин","6","Выходит","SoftBox","Исом,Кан Ю Сок,Ким Ки Бан,Ким У Бин,Сон Сын Хон,Чан Ми Кван,Чжин Гён","Дорама расскажет о времени, когда комета столкнулась с землей и большинство континентов ушло под воду, а Корейский полуостров превратился в пустыню.","chiornyi-rytsar"
"Записи о несравненной красоте в цзянху","wp-content\uploads\2023\10\zapisi-o-nesra…sote-v-czyanxu.jpg","Китай","2023","Боевые искусства, Детектив, Исторический, Мелодрама","11 мин","25","Выходит","SoftBox","Пань Цзы Цзянь,Ху И Яо","Юная Линь входила в список несравненной красоты, и потому людям, прибывшим на её похороны, было непонятно, отчего она надумала утопиться. Впрочем, и других девушек из этого списка преследовали несчастья. Настали такие времена, когда для школ стало важно количество девушек, внесенных в список красоты. Это беспокоило глав, а мир боевых искусств и вовсе переживал шок.","zapisi-o-nesravnennoi-krasote-v-tsziankhu"
"Самый длинный день в Чанъане","wp-content\uploads\2019\07\samyj-dlinnyj-den-v-chanane.jpg","Китай","2019","Боевые искусства, Детектив, Исторический, Триллер","45 мин.","48","Выходит","Fronda","Ван Хэ Жунь,Джексон И,Лэй Цзя Инь,Риза Алимжан,Сюй Лу,У Сяо Лян,Чжан Хэ,Чжао Вэй,Чжоу И Вэй","Главный герой остросюжетной дорамы «Самый длинный день в Чанъане» Чжан Сяо Цзин, некогда лучший воин имперской армии, из-за своего нрава и нарушения закона попал в тюрьму. Ему оставалось только дожидаться смерти, но в городе появились подозрительные люди, которые задумали недоброе. Что именно планируют чужаки поручено узнать молодому, но смышленому главе особого отдела безопасности Ли Ли. Он прибегает к помощи опытного Сяо Цзиня и обещает ему свободу в обмен на результат, однако в случае провала мужчину ждет смертная казнь. Когда на кону жизнь, а времени на расследование совсем нет и так велик соблазн к побегу, станет ли Сяо Цзин выполнять уговор? Так или иначе он привык играть по своим правилам, но и Ли Ли совсем не прост.","samyi-dlinnyi-den-v-chanane"
"Восход луны и бушующее пламя","wp-content\uploads\2020\05\vosxod-luny.jpg","Китай","2020","Боевые искусства, Драма, Исторический, Мелодрама","45 мин.","48","Выходит","Puski production","Ли Цзун Хань,Ло Юнь Си,Цюань Пэй Лунь,Чэнь Юй Ци","Главная героиня дорамы «Восход луны и бушующее пламя» принцесса Чун Сюэ Чжи, покидает дворец Огня, чтобы познать мир боевых искусств. Девушка встречает лидера клана долины Восхода Луны, Шангуань Тоу, а позже узнает, что ее ложно обвинили в краже учения Девяти движений божественного лотоса. Вместе со своим новым спутником героиня начинает поиски настоящего вора. Тем временем в мире боевых искусств появился мастер, который используя технику божественного лотоса творит злодеяния повергая мир в хаос.","voskhod-luny-i-bushuiushchee-plamia"
"Путешествие к любви","wp-content\uploads\2023\11\puteshestvie-k-lyubvi.jpg","Китай","2023","Боевые искусства, Драма, Мелодрама","50 мин","4","Выходит","DubLik-TV","Е Сяо Вэй,Е Цин,Лю Ши Ши,Лю Юй Нин,Фан И Лунь,Хэ Лань Доу,Чжан Чжи Си,Чэнь Ду Лин,Чэнь Ю Вэй","Красивой наемнице Сяо из Алой стражи поручают задание: похитить продовольственную карту у наследника Ханя, которому она приглянулась. Но во время выполнения задания возникают трудности, и девушке помогает ее соратница, талантливая убийца Жуи. Навыки профессиональной наемницы оказываются полезны влиятельным людям, и вскоре Жуи отправляется на другое, не менее опасное задание, но на этот раз к ней присоединяются наемники из другого клана. Вместе молодым людям предстоит окунуться в опасное путешествие, а что ждет их в конце пути, узнаем после просмотра дорамы.","puteshestvie-k-liubvi"
"Меченосец","wp-content\uploads\2023\10\mechenosec-2.jpg","Китай","2013","Боевые искусства, Драма, Мелодрама, Фэнтези","43 мин","42","Выходит","SoftBox","Ван Линь,Джо Чэнь,Дэн Ша,Уоллес Хо,Хань Дун,Цзун Фэн Янь,Цзян И И,Чэнь Сяо,Ян Жун,Ян Мин На","В мире боевых искусств Цзянху главным становится демонический культ Солнца и Луны. Для противостояния ему создали альянс мечей Пяти гор. Дзо ведет воинов альянса к утесу, на котором обосновался культ, но действует импульсивно из-за предстоящих выборов главы.","mechenosets"
"Мой путь к тебе","wp-content\uploads\2023\09\moj-put-k-tebe.jpg","Китай","2023","Боевые искусства, Драма, Мелодрама, Фэнтези","56 мин","24","Выходит","DubLik-TV","Лу Юй Сяо,Оу Ми Дэ,Тянь Цзя Жуй,Цзи Лин Чэнь,Цзо Е,Цзэн Кэ Ни,Цзэн Шунь Си,Чжан Лин Хэ,Чэн Лэй,Чэнь Ду Лин,Юй Шу Синь","Шпионка Юнь Вэйшань получает шанс покинуть Уфэн, если исполнит последнее задание: от неё требуется выдать себя за невесту князя из весьма опасной секты. Наставник снабжает девушку важными сведениями о секте Гонг, и она отправляется исполнять приказ. Близкое знакомство с женихом, ставшего во главе клана после смерти отца и брата, заставляет Юнь отказаться от первоначальных намерений. Она никак не была готова к тому, что придется выбирать между свободой и любовью. А князь Цзыюй приходит к осознанию, что над ним нависла смертельная угроза.","moi-put-k-tebe"
"Любовь – это случайность","wp-content\uploads\2023\09\lyubov-eto-sluchajnost.jpg","Китай","2023","Боевые искусства, Исторический, Комедия, Мелодрама, Фантастика","40 мин","32","Выходит","DubLik-TV","Ван И Но,Син Фэй,Сюй Кай Чэн","Из-за фантастическрго камня девушка Ли Чуюэ попадает в другой мир, прямо в павильон Цзян Ху, где знакомится с главным мастером. Чтобы выжить в чужом мире, девушка выдает себя за жену главного, а он, несмотря не странность происходящего, помогает ей во всем.","liubov-eto-sluchainost"
